# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346768843018e-02       2.435124647575e+04 
       1.359645781107e-02       2.439333666399e+04 
       1.372526348242e-02       2.443213905724e+04 
       1.385410555449e-02       2.446991289809e+04 
       1.398298416063e-02       2.450577367745e+04 
       1.411189945687e-02       2.454007622348e+04 
       1.424085162161e-02       2.457232690974e+04 
       1.436984085528e-02       2.460194144687e+04 
       1.449886738013e-02       2.462816453853e+04 
       1.462793143994e-02       2.465381103458e+04 
       1.475703329981e-02       2.467885148556e+04 
       1.488617324602e-02       2.470074267975e+04 
       1.501535158583e-02       2.471951695039e+04 
       1.514456864736e-02       2.473789008251e+04 
       1.527382477952e-02       2.475479865127e+04 
       1.540312035187e-02       2.476915769166e+04 
       1.553245575463e-02       2.478054423630e+04 
       1.566183139858e-02       2.479160240062e+04 
       1.579124771512e-02       2.480168273837e+04 
       1.592070515620e-02       2.480852124116e+04 
       1.605020419442e-02       2.481393786201e+04 
       1.617974532303e-02       2.481822315543e+04 
       1.630932905601e-02       2.482019984605e+04 
       1.643895592820e-02       2.482169953745e+04 
       1.656862649532e-02       2.482100162910e+04 
       1.669834133419e-02       2.481758724924e+04 
       1.682810104279e-02       2.481382140258e+04 
       1.695790624049e-02       2.480817607276e+04 
       1.708775756818e-02       2.480117579984e+04 
       1.721765568847e-02       2.479225501419e+04 
       1.734760128592e-02       2.478240820241e+04 
       1.747759506727e-02       2.477088529859e+04 
       1.760763776166e-02       2.475775489388e+04 
       1.773773012092e-02       2.474375002739e+04 
       1.786787291981e-02       2.472761012548e+04 
       1.799806695637e-02       2.471138629184e+04 
       1.812831305219e-02       2.469254650795e+04 
       1.825861205275e-02       2.467315590331e+04 
       1.838896482777e-02       2.465124995707e+04 
       1.851937227156e-02       2.462884177964e+04 
       1.864983530341e-02       2.460494273918e+04 
       1.878035486799e-02       2.458041385837e+04 
       1.891093193575e-02       2.455404070297e+04 
       1.904156750335e-02       2.452708306652e+04 
       1.917226259411e-02       2.449823190687e+04 
       1.930301825850e-02       2.446889847379e+04 
       1.943383557458e-02       2.443780001044e+04 
       1.956471564853e-02       2.440607334930e+04 
       1.969565961516e-02       2.437268574397e+04 
       1.982666863847e-02       2.433878670567e+04 
       1.995774391216e-02       2.430352511233e+04 
       2.008888666028e-02       2.426708042273e+04 
       2.022009813775e-02       2.422930742462e+04 
       2.035137963103e-02       2.419073254715e+04 
       2.048273245876e-02       2.415190438866e+04 
       2.061415797237e-02       2.411149058626e+04 
       2.074565755684e-02       2.406972284693e+04 
       2.087723263132e-02       2.402718334961e+04 
       2.100888464993e-02       2.398393379512e+04 
       2.114061510247e-02       2.393980473080e+04 
       2.127242551521e-02       2.389522228557e+04 
       2.140431745168e-02       2.384862938620e+04 
       2.153629251350e-02       2.380247261068e+04 
       2.166835234123e-02       2.375453780143e+04 
       2.180049861527e-02       2.370598698936e+04 
       2.193273305671e-02       2.365678625500e+04 
       2.206505742834e-02       2.360660537365e+04 
       2.219747353555e-02       2.355519994794e+04 
       2.232998322733e-02       2.350345798419e+04 
       2.246258839736e-02       2.345101226885e+04 
       2.259529098497e-02       2.339779586451e+04 
       2.272809297631e-02       2.334388631297e+04 
       2.286099640541e-02       2.328925649950e+04 
       2.299400335541e-02       2.323391044640e+04 
       2.312711595968e-02       2.317791674835e+04 
       2.326033640311e-02       2.312123437463e+04 
       2.339366692335e-02       2.306390662759e+04 
       2.352710981213e-02       2.300639790576e+04 
       2.366066741663e-02       2.294733066560e+04 
       2.379434214085e-02       2.288816376524e+04 
       2.392813644707e-02       2.282846780968e+04 
       2.406205285732e-02       2.276805732951e+04 
       2.419609395493e-02       2.270712876730e+04 
       2.433026238611e-02       2.264566610968e+04 
       2.446456086159e-02       2.258373520573e+04 
       2.459899215829e-02       2.252134037922e+04 
       2.473355912109e-02       2.245804798376e+04 
       2.486826466460e-02       2.239444718419e+04 
       2.500311177504e-02       2.233045711166e+04 
       2.513810351217e-02       2.226593671577e+04 
       2.527324301124e-02       2.220100325711e+04 
       2.540853348510e-02       2.213585665071e+04 
       2.554397822623e-02       2.206973554012e+04 
       2.567958060905e-02       2.200342080207e+04 
       2.581534409206e-02       2.193676383254e+04 
       2.595127222029e-02       2.186983074384e+04 
       2.608736862767e-02       2.180211225641e+04 
       2.622363703955e-02       2.173422063668e+04 
       2.636008127527e-02       2.166623300730e+04 
       2.649670525091e-02       2.159768024975e+04 
       2.663351298200e-02       2.152880173265e+04 
       2.677050858645e-02       2.145931152298e+04 
       2.690769628752e-02       2.138983901380e+04 
       2.704508041687e-02       2.131982613455e+04 
       2.718266541783e-02       2.124968168200e+04 
       2.732045584865e-02       2.117920028386e+04 
       2.745845638601e-02       2.110861737304e+04 
       2.759667182850e-02       2.103749589679e+04 
       2.773510710040e-02       2.096629310878e+04 
       2.787376725548e-02       2.089476003499e+04 
       2.801265748096e-02       2.082294350523e+04 
       2.815178310169e-02       2.075077065423e+04 
       2.829114958442e-02       2.067854093494e+04 
       2.843076254224e-02       2.060611791421e+04 
       2.857062773923e-02       2.053343513729e+04 
       2.871075109529e-02       2.046074010366e+04 
       2.885113869109e-02       2.038762367789e+04 
       2.899179677331e-02       2.031447226044e+04 
       2.913273176004e-02       2.024094054301e+04 
       2.927395024639e-02       2.016741300864e+04 
       2.941545901039e-02       2.009373273042e+04 
       2.955726501902e-02       2.001987242113e+04 
       2.969937543463e-02       1.994586342830e+04 
       2.984179762148e-02       1.987179542153e+04 
       2.998453915273e-02       1.979748313604e+04 
       3.012760781751e-02       1.972322034461e+04 
       3.027101162850e-02       1.964880893021e+04 
       3.041475882971e-02       1.957417964022e+04 
       3.055885790466e-02       1.949954024766e+04 
       3.070331758485e-02       1.942481632561e+04 
