# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346768843018e-02       2.457169716010e+04 
       1.359645781107e-02       2.461618158831e+04 
       1.372526348242e-02       2.465735174680e+04 
       1.385410555449e-02       2.469748831941e+04 
       1.398298416063e-02       2.473569767280e+04 
       1.411189945687e-02       2.477233767704e+04 
       1.424085162161e-02       2.480690924844e+04 
       1.436984085528e-02       2.483882152823e+04 
       1.449886738013e-02       2.486731066477e+04 
       1.462793143994e-02       2.489521997434e+04 
       1.475703329981e-02       2.492251953260e+04 
       1.488617324602e-02       2.494663891639e+04 
       1.501535158583e-02       2.496760993096e+04 
       1.514456864736e-02       2.498817686955e+04 
       1.527382477952e-02       2.500726459220e+04 
       1.540312035187e-02       2.502377579041e+04 
       1.553245575463e-02       2.503728209697e+04 
       1.566183139858e-02       2.505045637480e+04 
       1.579124771512e-02       2.506264175999e+04 
       1.592070515620e-02       2.507154823278e+04 
       1.605020419442e-02       2.507901570501e+04 
       1.617974532303e-02       2.508533769215e+04 
       1.630932905601e-02       2.508932289501e+04 
       1.643895592820e-02       2.509282377368e+04 
       1.656862649532e-02       2.509409924158e+04 
       1.669834133419e-02       2.509262363303e+04 
       1.682810104279e-02       2.509078961047e+04 
       1.695790624049e-02       2.508705056313e+04 
       1.708775756818e-02       2.508193690846e+04 
       1.721765568847e-02       2.507487575179e+04 
       1.734760128592e-02       2.506687336096e+04 
       1.747759506727e-02       2.505717005881e+04 
       1.760763776166e-02       2.504583483543e+04 
       1.773773012092e-02       2.503360956383e+04 
       1.786787291981e-02       2.501921735918e+04 
       1.799806695637e-02       2.500473507313e+04 
       1.812831305219e-02       2.498759792032e+04 
       1.825861205275e-02       2.496989720597e+04 
       1.838896482777e-02       2.494964249198e+04 
       1.851937227156e-02       2.492887278547e+04 
       1.864983530341e-02       2.490658616927e+04 
       1.878035486799e-02       2.488365478759e+04 
       1.891093193575e-02       2.485884765990e+04 
       1.904156750335e-02       2.483344117620e+04 
       1.917226259411e-02       2.480610824494e+04 
       1.930301825850e-02       2.477827901482e+04 
       1.943383557458e-02       2.474865283194e+04 
       1.956471564853e-02       2.471838189688e+04 
       1.969565961516e-02       2.468641879972e+04 
       1.982666863847e-02       2.465392883710e+04 
       1.995774391216e-02       2.462004864890e+04 
       2.008888666028e-02       2.458495989153e+04 
       2.022009813775e-02       2.454851494060e+04 
       2.035137963103e-02       2.451124749487e+04 
       2.048273245876e-02       2.447371393940e+04 
       2.061415797237e-02       2.443456229156e+04 
       2.074565755684e-02       2.439402725015e+04 
       2.087723263132e-02       2.435269927980e+04 
       2.100888464993e-02       2.431064079839e+04 
       2.114061510247e-02       2.426767961557e+04 
       2.127242551521e-02       2.422424807585e+04 
       2.140431745168e-02       2.417876527683e+04 
       2.153629251350e-02       2.413371473378e+04 
       2.166835234123e-02       2.408684829239e+04 
       2.180049861527e-02       2.403934551893e+04 
       2.193273305671e-02       2.399117180434e+04 
       2.206505742834e-02       2.394199157379e+04 
       2.219747353555e-02       2.389155631304e+04 
       2.232998322733e-02       2.384076779511e+04 
       2.246258839736e-02       2.378925286206e+04 
       2.259529098497e-02       2.373694331845e+04 
       2.272809297631e-02       2.368391775667e+04 
       2.286099640541e-02       2.363014844184e+04 
       2.299400335541e-02       2.357563927489e+04 
       2.312711595968e-02       2.352045979136e+04 
       2.326033640311e-02       2.346456811641e+04 
       2.339366692335e-02       2.340800809395e+04 
       2.352710981213e-02       2.335125171208e+04 
       2.366066741663e-02       2.329289826012e+04 
       2.379434214085e-02       2.323443080908e+04 
       2.392813644707e-02       2.317541266099e+04 
       2.406205285732e-02       2.311565504878e+04 
       2.419609395493e-02       2.305535760249e+04 
       2.433026238611e-02       2.299450390372e+04 
       2.446456086159e-02       2.293316081061e+04 
       2.459899215829e-02       2.287133260776e+04 
       2.473355912109e-02       2.280857793479e+04 
       2.486826466460e-02       2.274549610469e+04 
       2.500311177504e-02       2.268200474651e+04 
       2.513810351217e-02       2.261796020667e+04 
       2.527324301124e-02       2.255348171360e+04 
       2.540853348510e-02       2.248877268057e+04 
       2.554397822623e-02       2.242305794214e+04 
       2.567958060905e-02       2.235713231335e+04 
       2.581534409206e-02       2.229084443900e+04 
       2.595127222029e-02       2.222426156745e+04 
       2.608736862767e-02       2.215686496294e+04 
       2.622363703955e-02       2.208927804543e+04 
       2.636008127527e-02       2.202157934466e+04 
       2.649670525091e-02       2.195329094707e+04 
       2.663351298200e-02       2.188465658787e+04 
       2.677050858645e-02       2.181538485326e+04 
       2.690769628752e-02       2.174611694828e+04 
       2.704508041687e-02       2.167628416623e+04 
       2.718266541783e-02       2.160630301878e+04 
       2.732045584865e-02       2.153596415498e+04 
       2.745845638601e-02       2.146550749588e+04 
       2.759667182850e-02       2.139448746866e+04 
       2.773510710040e-02       2.132337014331e+04 
       2.787376725548e-02       2.125190164781e+04 
       2.801265748096e-02       2.118012966449e+04 
       2.815178310169e-02       2.110797982241e+04 
       2.829114958442e-02       2.103575746637e+04 
       2.843076254224e-02       2.096332343409e+04 
       2.857062773923e-02       2.089060989928e+04 
       2.871075109529e-02       2.081786931423e+04 
       2.885113869109e-02       2.074468424813e+04 
       2.899179677331e-02       2.067144889056e+04 
       2.913273176004e-02       2.059781086329e+04 
       2.927395024639e-02       2.052416248348e+04 
       2.941545901039e-02       2.045034359891e+04 
       2.955726501902e-02       2.037632633298e+04 
       2.969937543463e-02       2.030214265812e+04 
       2.984179762148e-02       2.022788410434e+04 
       2.998453915273e-02       2.015336150702e+04 
       3.012760781751e-02       2.007887481015e+04 
       3.027101162850e-02       2.000422171934e+04 
       3.041475882971e-02       1.992933148178e+04 
       3.055885790466e-02       1.985441628798e+04 
       3.070331758485e-02       1.977940012577e+04 
       3.084814685870e-02       1.970426877609e+04 
       3.099335498081e-02       1.962906098377e+04 
       3.113895148170e-02       1.955385858847e+04 
       3.128494617794e-02       1.947852242146e+04 
       3.143134918274e-02       1.940299830059e+04 
       3.157817091713e-02       1.932753593558e+04 
       3.172542212153e-02       1.925187555748e+04 
       3.187311386798e-02       1.917638765133e+04 
       3.202125757284e-02       1.910056185190e+04 
       3.216986501022e-02       1.902487642869e+04 
       3.231894832601e-02       1.894910330542e+04 
       3.246852005253e-02       1.887335759982e+04 
       3.261859312405e-02       1.879750360686e+04 
       3.276918089297e-02       1.872168104596e+04 
       3.292029714687e-02       1.864583805729e+04 
       3.307195612641e-02       1.856987437674e+04 
       3.322417254419e-02       1.849399692684e+04 
       3.337696160453e-02       1.841802818546e+04 
       3.353033902434e-02       1.834213850399e+04 
       3.368432105514e-02       1.826631777521e+04 
       3.383892450614e-02       1.819034024939e+04 
       3.399416676870e-02       1.811457827008e+04 
       3.415006584208e-02       1.803856606922e+04 
       3.430664036061e-02       1.796269620903e+04 
       3.446390962243e-02       1.788690390711e+04 
       3.462189361981e-02       1.781102887995e+04 
       3.478061307128e-02       1.773523888403e+04 
